Administrator,,,Proxy_admin1,,,,,,
Report Created,,,"May 2, 2018 02:37:28 PM",,,,,,
83,2018/03/28,1:47:36 PM,User4,anonofficial.com,Allowed,14751,General Browsing,None,0
84,2018/03/28,1:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
85,2018/03/28,2:06:51 PM,User2,facebook.com,Allowed,24268,Social Media,None,0
86,2018/03/28,2:09:01 PM,User1,linkedin.com,Allowed,16074,Social Media,None,0
87,2018/03/28,2:16:24 PM,User4,anonymous-mail.com,Allowed,8159,General Browsing,None,0
88,2018/03/28,2:17:41 PM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
89,2018/03/28,2:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
90,2018/03/28,2:54:41 PM,User3,showmax.co.za,Allowed,179852,Videos,None,0
91,2018/03/28,2:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
92,2018/03/28,3:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
93,2018/03/28,3:38:09 PM,User1,ieee.org,Allowed,14263,Research,None,0
94,2018/03/28,3:46:47 PM,User2,phys.org,Allowed,12831,Research,None,0
95,2018/03/28,3:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
96,2018/03/28,4:01:58 PM,User4,how-to.com/anonymous-emails,Allowed,3579,General Browsing,None,0
97,2018/03/28,4:06:42 PM,User4,how-to.com/steal-company-secrets,Allowed,8159,General Browsing,None,0
98,2018/03/28,4:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
99,2018/03/28,4:48:24 PM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
100,2018/03/28,4:49:16 PM,User4,hotmail.com,Allowed,8159,Webmail,None,0
101,2018/03/28,4:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
102,2018/03/28,4:57:42 PM,User1,gmail.com,Allowed,8166,Webmail,None,0
103,2018/03/28,4:59:37 PM,User3,facebook.com,Allowed,24268,Social Media,None,0
104,2018/03/28,5:02:36 PM,User2,linkedin.com,Allowed,16074,Social Media,None,0
105,2018/03/29,7:53:19 AM,User1,google.co.za,Allowed,16074,Search Engine,None,0
106,2018/03/29,7:59:42 AM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
107,2018/03/29,8:02:49 AM,User3,facebook.com,Allowed,24268,Social Media,None,0
108,2018/03/29,8:07:04 AM,User3,linkedin.com,Allowed,8051,Social Media,None,0
109,2018/03/29,8:07:04 AM,User3,twitter.com,Allowed,8166,Social Media,None,0
110,2018/03/29,8:24:36 AM,User4,hotmail.com,Allowed,8159,Webmail,None,0
111,2018/03/29,8:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
112,2018/03/29,8:46:17 AM,User1,ieee.org,Allowed,17157,Research,None,0
113,2018/03/29,8:46:53 AM,User1,ACM.org,Allowed,12869,Research,None,0
114,2018/03/29,8:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
115,2018/03/29,8:59:46 AM,User2,www.journals.elsevier.com/energy-research-and-social-science/,Allowed,17157,Research,None,0
116,2018/03/29,9:01:14 AM,User2,phys.org,Allowed,24268,Research,None,0
117,2018/03/29,9:28:04 AM,User3,pinterest.com,Allowed,27935,Social Media,None,0
118,2018/03/29,9:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
119,2018/03/29,9:47:24 AM,User4,anonymous-mail.com,Allowed,2649573,General Browsing,None,0
120,2018/03/29,9:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
121,2018/03/29,10:28:04 AM,User3,youtube.com/search?cat-videos,Allowed,147082,Videos,None,0
122,2018/03/29,10:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
123,2018/03/29,10:31:14 AM,User2,sabs.co.za,Allowed,12869,Government,None,0
124,2018/03/29,10:53:24 AM,User4,wikileaks.org,Allowed,8159,General Browsing,None,0
125,2018/03/29,10:57:01 AM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
126,2018/03/29,11:14:53 AM,User4,anonofficial.com,Allowed,16074,General Browsing,None,0
127,2018/03/29,11:29:16 AM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
128,2018/03/29,11:59:53 AM,User1,gmail.com,Allowed,8166,Webmail,None,0
129,2018/03/29,12:03:24 PM,User2,linkedin.com,Allowed,16074,Social Media,None,0
130,2018/03/29,12:07:46 PM,User4,hotmail.com,Allowed,8159,Webmail,None,0
131,2018/03/29,12:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
132,2018/03/29,12:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
133,2018/03/29,1:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
134,2018/03/29,1:36:24 PM,User3,funnyflashgames.com,Allowed,74952,General Browsing,None,0
135,2018/03/29,1:42:36 PM,User4,www.textfiles.com/anarchy/JOLLYROGER/,Allowed,1463,General Browsing,None,0
136,2018/03/29,1:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
137,2018/03/29,2:04:07 PM,User1,gmail.com,Allowed,8166,Webmail,None,0
138,2018/03/29,2:06:41 PM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
139,2018/03/29,2:07:01 PM,User1,linkedin.com,Allowed,16074,Social Media,None,0
140,2018/03/29,2:08:51 PM,User2,facebook.com,Allowed,24268,Social Media,None,0
141,2018/03/29,2:16:24 PM,User4,anonymous-mail.com,Allowed,1357342,General Browsing,None,0
142,2018/03/29,2:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
143,2018/03/29,2:54:41 PM,User3,vimeo.com/funny_videos,Allowed,179852,Videos,None,0
144,2018/03/29,2:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
145,2018/03/29,3:26:47 PM,User2,ieee.org,Allowed,12831,Research,None,0
146,2018/03/29,3:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
147,2018/03/29,3:46:14 PM,User3,netflix.com,Allowed,426397,Videos,None,0
148,2018/03/29,3:51:09 PM,User1,ACM.org,Allowed,14263,Research,None,0
149,2018/03/29,3:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
150,2018/03/29,4:29:16 PM,User1,flowershop22.110mb.com,Not allowed to browse this Malicious URL,246,Suspected Spyware or Adware,None,90
151,2018/03/29,4:48:24 PM,User2,yahoo-mail.com,Allowed,18051,Webmail,None,0
152,2018/03/29,4:49:16 PM,User4,hotmail.com,Allowed,8159,Webmail,None,0
153,2018/03/29,4:57:01 PM,User3,www.gyd900yhllcfci.info,Not allowed to browse this Malicious URL,287,Suspected Spyware or Adware,None,70
154,2018/03/29,4:57:42 PM,User1,gmail.com,Allowed,8166,Webmail,None,0
155,2018/03/29,4:59:16 PM,User3,linkedin.com,Allowed,16074,Social Media,None,0
156,2018/03/29,4:59:37 PM,User2,linkedin.com,Allowed,16074,Social Media,None,0
157,2018/03/29,5:02:36 PM,User3,facebook.com,Allowed,24268,Social Media,None,0
